latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-17.93636,-42.32428,313.4,0.44,0.39,2019-10-20,03:48,N,nominal,1.0NRT,290.9,8.3,N
-17.93707,-42.32014,332.1,0.44,0.39,2019-10-20,03:48,N,nominal,1.0NRT,291.4,8.3,N
-17.93139,-42.33202,306.7,0.44,0.39,2019-10-20,03:48,N,nominal,1.0NRT,290.8,3,N
-17.93351,-42.31953,323.7,0.44,0.39,2019-10-20,03:48,N,nominal,1.0NRT,295.5,8.3,N
-17.9328,-42.3237,339.4,0.44,0.39,2019-10-20,03:48,N,nominal,1.0NRT,292.4,8.3,N
-17.92995,-42.31891,340.3,0.44,0.39,2019-10-20,03:48,N,nominal,1.0NRT,293.4,6.3,N
-17.92924,-42.32309,325.1,0.44,0.39,2019-10-20,03:48,N,nominal,1.0NRT,291.4,6.3,N
-17.92853,-42.32726,339,0.44,0.39,2019-10-20,03:48,N,nominal,1.0NRT,292.9,11.8,N
-17.92783,-42.33142,354.5,0.44,0.39,2019-10-20,03:48,N,nominal,1.0NRT,295.9,11.8,N
-17.92642,-42.31817,345.3,0.44,0.39,2019-10-20,03:48,N,nominal,1.0NRT,293.3,6.3,N
-17.92428,-42.33071,339,0.44,0.39,2019-10-20,03:48,N,nominal,1.0NRT,292.5,11.8,N
-17.97787,-41.92884,309.3,0.43,0.38,2019-10-20,03:48,N,nominal,1.0NRT,284.4,1.2,N
-17.86702,-42.25912,317.7,0.44,0.39,2019-10-20,03:48,N,nominal,1.0NRT,290.2,3.4,N
-17.63484,-43.57314,314,0.51,0.41,2019-10-20,03:48,N,nominal,1.0NRT,288,0.9,N
-17.3967,-44.71514,307.3,0.4,0.44,2019-10-20,03:48,N,nominal,1.0NRT,281.9,2.6,N
-17.39264,-44.71432,305.2,0.4,0.44,2019-10-20,03:48,N,nominal,1.0NRT,278.9,3.4,N
-17.74421,-42.51117,316.5,0.45,0.39,2019-10-20,03:48,N,nominal,1.0NRT,289.5,2.6,N
-17.74346,-42.5155,322.4,0.45,0.39,2019-10-20,03:48,N,nominal,1.0NRT,290.5,2.6,N
-17.72762,-42.52139,312.2,0.46,0.39,2019-10-20,03:48,N,nominal,1.0NRT,289.4,1.4,N
-17.72481,-42.51627,310.1,0.45,0.39,2019-10-20,03:48,N,nominal,1.0NRT,288.3,1.4,N
-17.72406,-42.52061,307.4,0.46,0.39,2019-10-20,03:48,N,nominal,1.0NRT,287.8,1.4,N
-17.72331,-42.52487,304.2,0.46,0.39,2019-10-20,03:48,N,nominal,1.0NRT,288.8,1.2,N
-17.72048,-42.51986,303.2,0.46,0.39,2019-10-20,03:48,N,nominal,1.0NRT,288,1.4,N
-17.60733,-43.05562,310.4,0.48,0.4,2019-10-20,03:48,N,nominal,1.0NRT,284.9,3,N
-17.60366,-43.05482,314.6,0.48,0.4,2019-10-20,03:48,N,nominal,1.0NRT,284.8,5.4,N
-17.60286,-43.05928,311.3,0.48,0.4,2019-10-20,03:48,N,nominal,1.0NRT,286.4,2.8,N
-17.59918,-43.05854,318.5,0.48,0.4,2019-10-20,03:48,N,nominal,1.0NRT,286.5,2.8,N
-17.60078,-43.04959,325.6,0.48,0.4,2019-10-20,03:48,N,nominal,1.0NRT,287.7,5.4,N
-17.59998,-43.05404,349.4,0.48,0.4,2019-10-20,03:48,N,nominal,1.0NRT,287.8,5.4,N
-17.59869,-43.03991,304.9,0.48,0.4,2019-10-20,03:48,N,nominal,1.0NRT,286.9,15.3,N
-17.59791,-43.04431,328.8,0.48,0.4,2019-10-20,03:48,N,nominal,1.0NRT,288.7,15.3,N
-17.59711,-43.04875,367,0.48,0.4,2019-10-20,03:48,N,high,1.0NRT,325.9,90.2,N
-17.59631,-43.05325,333.5,0.48,0.4,2019-10-20,03:48,N,nominal,1.0NRT,315.5,90.2,N
-17.5955,-43.05782,322.9,0.48,0.4,2019-10-20,03:48,N,nominal,1.0NRT,288.2,30.7,N
-17.66829,-42.62677,299.9,0.46,0.39,2019-10-20,03:48,N,nominal,1.0NRT,286.8,0.9,N
-17.59502,-43.03913,337.9,0.48,0.4,2019-10-20,03:48,N,nominal,1.0NRT,295.7,15.3,N
-17.59424,-43.04353,346.5,0.48,0.4,2019-10-20,03:48,N,nominal,1.0NRT,292.8,15.3,N
-17.59344,-43.04799,345.1,0.48,0.4,2019-10-20,03:48,N,nominal,1.0NRT,301,90.2,N
-17.59263,-43.05254,346.6,0.48,0.4,2019-10-20,03:48,N,nominal,1.0NRT,294.4,90.2,N
-17.60553,-43.03466,300.4,0.48,0.4,2019-10-20,03:48,N,nominal,1.0NRT,280.1,1.1,N
